aircraft_id,latitude,longitude,altitude,speed,heading,timestamp
A1,8.58798372618614,-13.009417479080497,31957,311,87,2026-03-16 02:16:40.665541
A2,8.400648280924926,-13.258106389383197,33288,469,346,2026-03-16 02:16:40.665574
A3,8.32450732932611,-13.249304388051177,13641,297,147,2026-03-16 02:16:40.665594
A4,8.591202379920409,-13.048601615087248,8370,508,144,2026-03-16 02:16:40.665613
A5,8.421408977972229,-13.222970767532006,26820,399,197,2026-03-16 02:16:40.665631
A6,8.33219171089928,-13.28694854633391,29412,565,209,2026-03-16 02:16:40.665649
A7,8.403670351956425,-13.225281291912253,23011,208,356,2026-03-16 02:16:40.665667
A8,8.42568002004418,-13.111672293538309,12755,216,268,2026-03-16 02:16:40.665684
A9,8.317163619450278,-13.073551207442197,34987,203,258,2026-03-16 02:16:40.665706
A10,8.500853097043688,-13.242863739701688,8062,413,154,2026-03-16 02:16:40.665724
A11,8.332064526846684,-13.190854262836746,13033,228,343,2026-03-16 02:16:40.665743
A12,8.306617731057342,-13.21139942238394,27484,384,78,2026-03-16 02:16:40.665761
A13,8.358960892631783,-13.169523866425683,19439,580,350,2026-03-16 02:16:40.665779
A14,8.553294466114222,-13.047854230093337,8102,580,167,2026-03-16 02:16:40.665796
A15,8.453926442296298,-13.234762391499945,17126,380,29,2026-03-16 02:16:40.665813
A16,8.451113055653325,-13.203782557403494,14156,348,352,2026-03-16 02:16:40.665831
A17,8.348089975920193,-13.295323216428132,26025,545,228,2026-03-16 02:16:40.665848
A18,8.428306072236593,-13.201877987883138,5159,478,55,2026-03-16 02:16:40.665866
A19,8.414990960934928,-13.043948804488052,31338,545,259,2026-03-16 02:16:40.665883
A20,8.445987133113388,-13.256577124393965,27797,286,82,2026-03-16 02:16:40.665900
